
 Main algorithm with 20 previous days
 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      2.869962E+03     2.962933E+04
     2        1      3.197654E+02     2.129846E+05
     3        1      3.730983E+01     7.089048E+04
     4        1      6.032670E+00     2.362330E+04
     5        1      2.375997E+00     5.959834E+03
     6        9      2.202123E+00     3.267417E+03
     7        1      2.135263E+00     1.066462E+03
     8        1      2.108932E+00     2.029195E+02
     9        9      2.108375E+00     1.851026E+02
    10        9      2.107940E+00     1.882439E+02
    11        1      2.028985E+00     1.289410E+03
    12        1      2.023474E+00     3.376889E+02
    13        1      1.903415E+00     9.999704E+02
    14        1      1.801266E+00     1.517971E+03
    15        1      1.785970E+00     4.519596E+02
    16        8      1.781413E+00     1.864076E+02
    17        1      1.445495E+00     1.489868E+03
    18        1      1.434663E+00     1.630050E+02
    19        1      1.077266E+00     1.993327E+02
    20        9      1.076861E+00     1.435561E+02
    21        1      8.374667E-01     6.973620E+02
    22        1      8.163352E-01     9.334893E+02
    23        1      8.104287E-01     2.575869E+02
    24        1      7.693734E-01     1.148135E+03
    25        1      7.652162E-01     3.355015E+02
    26        1      7.522034E-01     1.235554E+03
    27        1      7.507813E-01     5.701397E+02
    28        1      7.483250E-01     1.204239E+02
    29        1      7.446796E-01     7.438260E+02
    30        1      7.428252E-01     1.879535E+02
    31        1      7.286371E-01     6.830097E+02
    32        1      7.253506E-01     1.747927E+02
    33        1      6.855953E-01     2.154816E+03
    34        1      6.715145E-01     7.000036E+02
    35        1      6.698679E-01     1.752651E+02
    36        1      6.038385E-01     4.600155E+02
    37        9      6.029274E-01     2.315305E+02
    38        1      5.994603E-01     5.762818E+02
    39        1      5.970844E-01     1.418941E+02
    40        1      5.738629E-01     1.726267E+03
    41        1      5.648064E-01     5.587681E+02
    42        9      5.638470E-01     2.526941E+02
    43        9      5.635468E-01     1.116423E+02
    44        1      4.785668E-01     1.113573E+03
    45        1      4.654827E-01     9.597041E+02
    46        1      4.625947E-01     2.834195E+02
    47        1      4.256186E-01     2.475846E+02
    48        1      4.073617E-01     8.439008E+02
    49        1      4.051200E-01     2.474530E+02
    50        9      4.048676E-01     1.130935E+02
    51        9      4.047430E-01     9.252021E+01
    52        9      4.046432E-01     9.406538E+01
    53        9      4.045484E-01     9.477045E+01
    54        9      4.044546E-01     9.507809E+01
    55        1      3.913503E-01     1.437329E+02
    56        1      1.209428E-01     3.009384E+02
    57        1      1.206471E-01     8.214721E+01
    58        1      3.934561E-02     2.239356E+01
    59        1      2.721301E-02     6.924583E+00
    60        1      2.538474E-02     2.340892E+00
    61        1      2.517803E-02     7.481838E-01
    62        1      2.515448E-02     1.889025E-01
    63        1      2.492517E-02     9.152079E-02
    64        1      2.485129E-02     7.883700E-02
    65        1      2.479746E-02     6.186266E-02
    66        1      2.476329E-02     4.785886E-02
    67        1      2.473609E-02     3.240548E-02
    68        1      2.472807E-02     2.609337E-02
    69        1      2.472044E-02     2.863420E-02
    70        1      2.471626E-02     1.182045E-02
    71        1      2.471498E-02     9.033603E-03
    72        1      2.471400E-02     7.796339E-03
    73        1      2.471347E-02     5.847692E-03
    74        1      2.471337E-02     2.948952E-03
    75        1      2.471330E-02     2.394462E-03
    76        1      2.471326E-02     1.940277E-03
    77        1      2.471323E-02     1.544437E-03
    78        1      2.471319E-02     2.271164E-03
    79        1      2.471319E-02     6.973801E-04
 --------------------------------------------------

 Main algorithm with 20 previous days
 --------------------------------------------------
  #iter    #init      Sp(xstar)       ||g(xstar)||
 --------------------------------------------------
     1        0      1.274740E-01              NaN
     2        1      6.194849E-02     5.105751E+00
     3        1      4.671974E-02     2.285407E+00
     4        1      4.474969E-02     7.469205E-01
     5        1      4.453063E-02     2.375455E-01
     6        1      4.450408E-02     4.768833E-02
     7        1      4.377377E-02     6.706125E-02
     8        1      4.307640E-02     1.015109E+00
     9        1      4.270244E-02     3.234872E-01
    10        1      4.266339E-02     9.618078E-02
    11        1      4.263683E-02     4.279713E-02
    12        1      4.259602E-02     5.345860E-02
    13        1      4.258033E-02     3.200133E-02
    14        1      4.252628E-02     1.487940E-01
    15        1      4.250653E-02     3.194700E-02
    16        1      4.248334E-02     5.136775E-02
    17        1      4.243825E-02     1.762888E-01
    18        1      4.242626E-02     4.689286E-02
    19        1      4.241338E-02     2.892748E-02
    20        1      4.225412E-02     2.407235E-01
    21        1      4.223292E-02     7.056104E-02
    22        1      4.222372E-02     2.642345E-02
    23        1      4.221097E-02     2.861332E-02
    24        1      4.220052E-02     3.089547E-02
    25        1      4.219072E-02     2.453383E-02
    26        1      4.178112E-02     7.112154E-01
    27        1      4.161172E-02     2.290513E-01
    28        1      4.159397E-02     7.124860E-02
    29        1      4.158638E-02     2.036428E-02
    30        1      4.157943E-02     2.317664E-02
    31        1      4.157242E-02     2.373078E-02
    32        1      4.156719E-02     1.914722E-02
    33        1      4.156156E-02     2.023182E-02
    34        1      4.155148E-02     2.061811E-02
    35        1      4.150488E-02     1.633300E-01
    36        1      4.149577E-02     4.926874E-02
    37        1      4.148603E-02     2.336182E-02
    38        1      4.146786E-02     3.473420E-02
    39        1      4.146138E-02     2.338872E-02
    40        1      4.145589E-02     1.839365E-02
    41        1      4.144635E-02     2.689746E-02
    42        1      4.143535E-02     2.954200E-02
    43        1      4.142662E-02     2.215830E-02
    44        1      4.142277E-02     1.829187E-02
    45        1      4.141231E-02     2.866129E-02
    46        1      4.140138E-02     1.883892E-02
    47        1      4.106347E-02     1.087427E-01
    48        1      4.105939E-02     2.997588E-02
    49        1      4.104865E-02     3.284800E-02
    50        1      4.104334E-02     1.626605E-02
    51        1      4.103499E-02     2.295547E-02
    52        1      4.103220E-02     1.589110E-02
